"filename", "language", "Java", "Markdown", "HTML", "CSS", "JavaScript", "XML", "Log", "comment", "blank", "total"
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\allclasses-frame.html", "HTML", 0, 0, -22, 0, 0, 0, 0, -2, -1, -25
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\allclasses-noframe.html", "HTML", 0, 0, -22, 0, 0, 0, 0, -2, -1, -25
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\constant-values.html", "HTML", 0, 0, -88, 0, 0, 0, 0, -36, -1, -125
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\deprecated-list.html", "HTML", 0, 0, -88, 0, 0, 0, 0, -36, -1, -125
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\estadisticas\Estadisticas.html", "HTML", 0, 0, -328, 0, 0, 0, 0, -53, -1, -382
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\estadisticas\class-use\Estadisticas.html", "HTML", 0, 0, -88, 0, 0, 0, 0, -36, -1, -125
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\estadisticas\package-frame.html", "HTML", 0, 0, -18, 0, 0, 0, 0, -2, -1, -21
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\estadisticas\package-summary.html", "HTML", 0, 0, -108, 0, 0, 0, 0, -36, -1, -145
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\estadisticas\package-tree.html", "HTML", 0, 0, -101, 0, 0, 0, 0, -36, -1, -138
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\estadisticas\package-use.html", "HTML", 0, 0, -88, 0, 0, 0, 0, -36, -1, -125
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\help-doc.html", "HTML", 0, 0, -193, 0, 0, 0, 0, -36, -1, -230
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-1.html", "HTML", 0, 0, -100, 0, 0, 0, 0, -37, -1, -138
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-10.html", "HTML", 0, 0, -110, 0, 0, 0, 0, -37, -1, -148
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-11.html", "HTML", 0, 0, -102, 0, 0, 0, 0, -37, -1, -140
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-12.html", "HTML", 0, 0, -98, 0, 0, 0, 0, -37, -1, -136
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-13.html", "HTML", 0, 0, -94, 0, 0, 0, 0, -37, -1, -132
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-14.html", "HTML", 0, 0, -117, 0, 0, 0, 0, -37, -1, -155
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-2.html", "HTML", 0, 0, -94, 0, 0, 0, 0, -37, -1, -132
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-3.html", "HTML", 0, 0, -106, 0, 0, 0, 0, -37, -1, -144
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-4.html", "HTML", 0, 0, -92, 0, 0, 0, 0, -37, -1, -130
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-5.html", "HTML", 0, 0, -108, 0, 0, 0, 0, -37, -1, -146
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-6.html", "HTML", 0, 0, -128, 0, 0, 0, 0, -37, -1, -166
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-7.html", "HTML", 0, 0, -92, 0, 0, 0, 0, -37, -1, -130
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-8.html", "HTML", 0, 0, -98, 0, 0, 0, 0, -37, -1, -136
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-9.html", "HTML", 0, 0, -94, 0, 0, 0, 0, -37, -1, -132
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index.html", "HTML", 0, 0, -73, 0, 0, 0, 0, -2, -1, -76
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\overview-frame.html", "HTML", 0, 0, -20, 0, 0, 0, 0, -2, -1, -23
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\overview-summary.html", "HTML", 0, 0, -103, 0, 0, 0, 0, -36, -1, -140
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\overview-tree.html", "HTML", 0, 0, -118, 0, 0, 0, 0, -36, -1, -155
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\AlmacenPropiedades.html", "HTML", 0, 0, -590, 0, 0, 0, 0, -80, -1, -671
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\CriaTipo.html", "HTML", 0, 0, -339, 0, 0, 0, 0, -55, -1, -395
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\PecesDatos.html", "HTML", 0, 0, -430, 0, 0, 0, 0, -59, -1, -490
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\PecesProps.html", "HTML", 0, 0, -367, 0, 0, 0, 0, -58, -1, -426
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\PecesTipo.html", "HTML", 0, 0, -334, 0, 0, 0, 0, -55, -1, -390
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\class-use\AlmacenPropiedades.html", "HTML", 0, 0, -88, 0, 0, 0, 0, -36, -1, -125
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\class-use\CriaTipo.html", "HTML", 0, 0, -163, 0, 0, 0, 0, -37, -1, -201
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\class-use\PecesDatos.html", "HTML", 0, 0, -248, 0, 0, 0, 0, -37, -1, -286
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\class-use\PecesProps.html", "HTML", 0, 0, -163, 0, 0, 0, 0, -37, -1, -201
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\class-use\PecesTipo.html", "HTML", 0, 0, -163, 0, 0, 0, 0, -37, -1, -201
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\package-frame.html", "HTML", 0, 0, -25, 0, 0, 0, 0, -2, -1, -28
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\package-summary.html", "HTML", 0, 0, -143, 0, 0, 0, 0, -36, -1, -180
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\package-tree.html", "HTML", 0, 0, -116, 0, 0, 0, 0, -36, -1, -153
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\package-use.html", "HTML", 0, 0, -137, 0, 0, 0, 0, -37, -1, -175
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\script.js", "JavaScript", 0, 0, 0, 0, -29, 0, 0, 0, -2, -31
